Day,Date,Total Sales ($),Time,Sales ($),Chicken Boneless Raw (Each),Chicken Piece WB (Pieces),Chicken Pop-in Raw (Bag),Chicken Tender Raw (Each),Potatoes (50 LB)
Monday,April 20 2026,8565.87,10:00 AM - 11:00 AM,206.87,27,8,0,2,0
Monday,April 20 2026,8565.87,11:00 AM - 12:00 PM,564.06,72,21,0,6,0
Monday,April 20 2026,8565.87,12:00 PM - 1:00 PM,613.32,79,23,0,6,0
Monday,April 20 2026,8565.87,1:00 PM - 2:00 PM,315.22,40,12,0,3,0
Monday,April 20 2026,8565.87,2:00 PM - 3:00 PM,624.71,80,23,0,6,0
Monday,April 20 2026,8565.87,3:00 PM - 4:00 PM,690.19,88,26,0,7,0
Monday,April 20 2026,8565.87,4:00 PM - 5:00 PM,826.59,106,31,0,8,0
Monday,April 20 2026,8565.87,5:00 PM - 6:00 PM,905.17,116,33,0,9,0
Monday,April 20 2026,8565.87,6:00 PM - 7:00 PM,1283.13,164,47,0,12,0
Monday,April 20 2026,8565.87,7:00 PM - 8:00 PM,1115.62,143,41,0,11,0
Monday,April 20 2026,8565.87,8:00 PM - 9:00 PM,872.34,112,32,0,8,0
Monday,April 20 2026,8565.87,9:00 PM - 10:00 PM,521.98,67,19,0,5,0
Monday,April 20 2026,8565.87,10:00 PM - 11:00 PM,26.67,3,1,0,0,0
Tuesday,April 21 2026,2734.36,10:00 AM - 11:00 AM,43.15,1,4,0,1,0
Tuesday,April 21 2026,2734.36,11:00 AM - 12:00 PM,148.91,4,14,0,4,0
Tuesday,April 21 2026,2734.36,12:00 PM - 1:00 PM,338.47,8,31,0,9,0
Tuesday,April 21 2026,2734.36,1:00 PM - 2:00 PM,210.50,5,20,0,6,0
Tuesday,April 21 2026,2734.36,2:00 PM - 3:00 PM,165.59,4,15,0,4,0
Tuesday,April 21 2026,2734.36,3:00 PM - 4:00 PM,230.51,5,21,0,6,0
Tuesday,April 21 2026,2734.36,4:00 PM - 5:00 PM,208.46,5,19,0,5,0
Tuesday,April 21 2026,2734.36,5:00 PM - 6:00 PM,373.44,9,35,0,10,0
Tuesday,April 21 2026,2734.36,6:00 PM - 7:00 PM,316.82,7,29,0,8,0
Tuesday,April 21 2026,2734.36,7:00 PM - 8:00 PM,376.57,9,35,0,10,0
Tuesday,April 21 2026,2734.36,8:00 PM - 9:00 PM,210.65,5,19,0,6,0
Tuesday,April 21 2026,2734.36,9:00 PM - 10:00 PM,111.29,3,10,0,3,0
Wednesday,April 22 2026,3055.73,10:00 AM - 11:00 AM,45.79,1,5,0,1,0
Wednesday,April 22 2026,3055.73,11:00 AM - 12:00 PM,248.84,5,28,0,6,0
Wednesday,April 22 2026,3055.73,12:00 PM - 1:00 PM,297.47,6,34,0,8,0
Wednesday,April 22 2026,3055.73,1:00 PM - 2:00 PM,212.04,4,24,0,6,0
Wednesday,April 22 2026,3055.73,2:00 PM - 3:00 PM,252.46,5,29,0,7,0
Wednesday,April 22 2026,3055.73,3:00 PM - 4:00 PM,237.52,4,27,0,6,0
Wednesday,April 22 2026,3055.73,4:00 PM - 5:00 PM,226.16,4,26,0,6,0
Wednesday,April 22 2026,3055.73,5:00 PM - 6:00 PM,401.82,8,46,0,11,0
Wednesday,April 22 2026,3055.73,6:00 PM - 7:00 PM,373.33,7,42,0,10,0
Wednesday,April 22 2026,3055.73,7:00 PM - 8:00 PM,342.05,6,39,0,9,0
Wednesday,April 22 2026,3055.73,8:00 PM - 9:00 PM,249.14,5,28,0,6,0
Wednesday,April 22 2026,3055.73,9:00 PM - 10:00 PM,150.73,3,17,0,4,0
Wednesday,April 22 2026,3055.73,10:00 PM - 11:00 PM,18.38,0,2,0,0,0
Thursday,April 23 2026,3760.31,10:00 AM - 11:00 AM,48.33,1,4,0,2,0
Thursday,April 23 2026,3760.31,11:00 AM - 12:00 PM,279.03,6,26,0,8,0
Thursday,April 23 2026,3760.31,12:00 PM - 1:00 PM,361.12,8,33,0,10,0
Thursday,April 23 2026,3760.31,1:00 PM - 2:00 PM,179.49,4,17,0,5,0
Thursday,April 23 2026,3760.31,2:00 PM - 3:00 PM,200.98,4,19,0,6,0
Thursday,April 23 2026,3760.31,3:00 PM - 4:00 PM,327.56,7,30,0,9,0
Thursday,April 23 2026,3760.31,4:00 PM - 5:00 PM,402.66,9,37,0,11,0
Thursday,April 23 2026,3760.31,5:00 PM - 6:00 PM,434.49,10,40,0,12,0
Thursday,April 23 2026,3760.31,6:00 PM - 7:00 PM,496.87,11,46,0,14,0
Thursday,April 23 2026,3760.31,7:00 PM - 8:00 PM,415.35,9,38,0,12,0
